Type,Stock,Quantity,Price
Buy,TSLA,3,319.97
Buy,AAPL,44,214.26
Buy,TSLA,3,322.24
Buy,TSLA,2,322.28
Buy,TSLA,3,322.42
Sell,TSLA,3,322.49
Sell,TSLA,0,322.81
Buy,TSLA,2,322.47
Sell,TSLA,2,322.25
Buy,TSLA,2,321.73
Buy,TSLA,1,321.53
Sell,TSLA,2,321.47
Sell,TSLA,1,321.22
Buy,AAPL,2,214.45
Sell,TSLA,2,320.88
Buy,TSLA,2,320.65
Sell,TSLA,2,320.76
Buy,TSLA,2,320
Sell,TSLA,0,319.94
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Sell,LMT,0,423.58
Buy,TSLA,2,319.96
Buy,TSLA,1,320.02
Sell,TSLA,3,319.77
Sell,TSLA,3,319.42
Buy,AAPL,3,214.24
